video_id,title,views,likes,comments,collected_at,view_growth,like_growth,comment_growth,trend_score,full_text,embedding,recommend_score
7AagwMbUR1M,Beéle - Quédate (Letra),129743,186,3,2025-07-28 11:06:23.222178,0.0695161157365427,0.05084745762711873,0.0,0.05187916096734937,Beéle - Quédate (Letra),"[-8.28327611e-03  4.36148047e-02  5.12887165e-02  3.83406952e-02
 -1.33555800e-01  6.87084198e-02  7.47057647e-02 -2.88079735e-02
 -2.97181830e-02  1.58157088e-02  6.54264018e-02 -7.40107987e-03
  5.61981974e-03 -3.29202935e-02  1.29980324e-02  3.72873358e-02
  2.73327045e-02 -2.15305556e-02 -3.41133662e-02 -1.74448639e-02
  4.46115620e-02 -2.26148241e-03  3.20690982e-02  3.88869196e-02
 -2.76186205e-02  3.09644174e-02 -3.36715467e-02 -1.91274546e-02
 -2.81105842e-02 -7.69216418e-02 -1.68940108e-02  1.29453704e-01
  1.68603230e-02 -2.49232557e-02  5.41276881e-04 -7.19508827e-02
  5.25103733e-02 -6.07880056e-02  1.56617891e-02  1.42872846e-02
 -8.02688375e-02 -4.82532941e-02 -5.78099303e-02  3.91402654e-02
 -3.14506590e-02  8.29152297e-03 -1.56086301e-02  7.16871619e-02
  1.04684988e-02 -2.27667987e-02 -2.09484641e-02 -2.95705963e-02
 -2.30633412e-02 -6.92762211e-02  2.02850327e-02 -2.73003429e-02
  4.34608236e-02 -3.31463367e-02  8.40509757e-02  1.27875311e-02
 -4.26910818e-02  4.45309430e-02  1.94002539e-02  4.04521264e-02
  2.77393069e-02 -1.34999797e-01 -2.84224586e-03 -3.99469920e-02
 -6.71336427e-04 -5.38579859e-02  1.11511885e-03 -5.95393926e-02
 -6.10030815e-02 -2.07002908e-02 -1.82305686e-02  9.85937342e-02
  9.93851349e-02  1.95046104e-02 -1.12632066e-02 -6.91616461e-02
 -2.39852723e-02 -1.01730630e-01 -7.19318017e-02  2.81882323e-02
 -6.43951586e-03 -6.30622059e-02  8.37609172e-03  5.42151742e-02
  3.93884070e-02 -2.42367983e-02  4.68839426e-03 -2.08726153e-02
 -2.66180504e-02  6.81724539e-03 -7.41461366e-02 -2.96872612e-02
 -2.87143569e-02  1.65620223e-02  4.87917587e-02  8.67206454e-02
 -8.68343841e-03  1.62559953e-02 -8.45326111e-02  5.93445525e-02
 -6.02138154e-02 -4.61846665e-02  1.16965855e-02 -5.15608341e-02
  4.51327823e-02 -2.93739904e-02 -5.58577105e-02 -4.26733978e-02
 -6.04246836e-03  2.51404010e-02 -5.16690910e-02  1.47236753e-02
 -3.81579436e-02  2.54338724e-03  9.96637419e-02 -9.05133337e-02
  9.92178991e-02  4.89486530e-02 -7.81889483e-02  1.13752314e-04
 -3.53637673e-02  8.69907998e-03  2.99267173e-02 -2.02945849e-33
  4.55935672e-02 -1.41260521e-02  6.49828017e-02 -3.30850929e-02
  9.61906463e-02  3.16664688e-02 -9.61325541e-02  1.05694560e-02
  5.54144057e-03  5.20979345e-04 -2.16438547e-02 -8.89309421e-02
 -8.72421078e-03 -1.00005195e-01  2.07118671e-02  5.62340803e-02
 -2.85715424e-02 -3.33008915e-02  3.33679169e-02  7.61363804e-02
  1.49817737e-02 -3.49675380e-02 -3.78534086e-02 -4.66019905e-04
  6.56645894e-02  2.59629125e-03  5.36528118e-02 -7.20869144e-03
  5.60604036e-02  1.16721746e-02  8.90874863e-02 -1.14773639e-01
  3.97840999e-02 -5.26372790e-02  2.63419542e-02 -4.90877479e-02
 -3.45400185e-03  2.52391100e-02 -6.47820756e-02 -3.04344874e-02
  2.99958363e-02 -2.64542531e-02 -2.30155084e-02 -1.06354989e-02
  4.18927521e-02 -2.71160733e-02 -5.09185195e-02  8.35027173e-02
  6.49553984e-02 -8.73092376e-03 -7.46570453e-02  5.35896420e-03
  9.63792950e-03  4.45492705e-03  2.31325254e-02  5.14908917e-02
  8.83427262e-02  1.89681053e-02 -2.43993867e-02 -9.37202498e-02
  6.35347515e-02  1.16237281e-02  6.16239533e-02 -9.38919336e-02
  4.72285114e-02  3.09655145e-02 -3.73529345e-02  4.07149717e-02
  1.11960717e-01  2.02926416e-02 -4.83791865e-02 -5.46792231e-04
  4.97086048e-02  5.06949611e-03 -4.38984297e-02 -4.37876135e-02
  5.74879423e-02  3.93615365e-02  2.71369256e-02 -3.49028744e-02
  2.33672501e-04 -2.96586119e-02 -3.04570645e-02  9.82186347e-02
  7.97127113e-02  2.46829353e-02 -2.69271620e-02 -1.05621852e-02
  1.24720819e-02  3.59185077e-02 -3.35953161e-02 -1.08468411e-02
  9.32829105e-04 -5.92549294e-02 -7.41659431e-03  1.51010405e-33
  3.54127809e-02  4.72536869e-02 -1.50408523e-04  6.31839633e-02
  1.29833803e-01 -1.39178231e-01 -9.21585411e-03  1.18099935e-01
  6.86207488e-02 -3.96938361e-02 -3.87225114e-02 -4.17449586e-02
  1.26514986e-01 -5.83391450e-02  2.26499699e-02  9.18127671e-02
  5.42656556e-02 -5.71516007e-02 -5.98197915e-02  7.28878453e-02
 -1.73903272e-01  3.68592492e-03  2.61857733e-02 -5.31935319e-02
  5.56838624e-02 -1.33991921e-02  9.74139795e-02  3.16976681e-02
 -2.84771412e-03 -3.29549985e-05 -2.30241027e-02 -9.49348137e-02
 -2.33090706e-02 -3.02933231e-02 -2.50252094e-02  2.00356450e-02
  5.56663051e-02 -8.73732418e-02  2.56830100e-02  5.55303581e-02
 -1.02814995e-01  2.32605748e-02 -5.72224446e-02  1.31239323e-02
  1.74838807e-02  7.85803944e-02 -6.95043132e-02  2.01573074e-02
 -2.97581335e-03  6.98061138e-02  8.11784342e-02 -2.29609981e-02
 -1.89178772e-02  1.26697980e-02  8.60635489e-02 -5.30981794e-02
 -4.43111639e-03  6.32115966e-03  1.36759682e-02 -1.90278962e-02
  2.20794994e-02 -4.79311943e-02  3.67951319e-02 -5.47805466e-02
 -4.81646210e-02 -3.14232172e-03 -3.40386666e-02  3.69746983e-02
  2.21824851e-02 -3.46045047e-02  6.08345307e-02 -1.95600931e-02
 -8.63730758e-02  6.82361722e-02 -9.78948101e-02  7.77253732e-02
 -5.23090549e-02 -5.54189319e-03 -3.82927898e-03  1.94179621e-02
 -8.10849369e-02  4.19576876e-02 -8.01120475e-02  1.01322740e-01
  6.34540692e-02  7.00495318e-02 -2.03788448e-02  6.37321696e-02
 -2.90797558e-02 -1.60489362e-02 -5.61150257e-03  2.99331099e-02
  2.80608926e-02  5.43008521e-02 -1.58402398e-02 -1.54672239e-08
  2.66689993e-02 -6.75577968e-02 -4.69031036e-02  2.92726303e-03
  1.57625750e-01 -5.53539954e-02  1.81289371e-02 -7.62140825e-02
  5.56098297e-03 -1.34638036e-02  8.52565542e-02  4.03807126e-02
  1.85323860e-02 -3.99219850e-03  2.28355676e-02  2.77173016e-02
  1.14716971e-02  5.40925143e-03 -5.05204052e-02 -8.01398009e-02
  1.10984119e-02  2.86016110e-02 -8.92136618e-03 -6.44185618e-02
 -5.46290241e-02  1.65034886e-02  7.70361815e-03  9.75908421e-04
  4.81721684e-02 -7.59992227e-02  2.96655707e-02  5.83959743e-02
  7.22191259e-02 -9.33236405e-02 -6.64570406e-02 -3.14867385e-02
  9.47771966e-03  3.13505121e-02 -1.84105977e-03 -3.16577516e-02
  3.73021550e-02  2.84802038e-02  3.76393087e-02  3.52348946e-02
 -3.08583099e-02 -5.42529859e-02  3.84237543e-02  7.92179815e-03
 -7.34085068e-02  2.39737192e-03 -4.47454192e-02  6.71743825e-02
  3.67610902e-02 -1.40179079e-02  3.46106738e-02  8.19486752e-02
  1.21456860e-02  2.05618585e-03 -1.06531670e-02  2.81976964e-02
 -6.29347004e-03 -1.65057443e-02  2.07794365e-02 -1.78959481e-02]",0.21916556
5k48LhP07S4,Hear Voices,56025,2461,0,2025-07-28 11:06:23.222193,0.027020586240398936,0.016522098306484878,0.0,0.019516771405536336,Hear Voices,"[ 1.09924972e-02 -1.85501371e-02  3.02386261e-03 -4.06500660e-02
 -4.27625813e-02  4.68493141e-02  5.09055369e-02 -9.04507786e-02
  9.51307639e-02 -5.81936352e-02 -4.69823591e-02 -5.66487648e-02
 -1.02155609e-02 -2.95597203e-02  3.63030061e-02 -1.36976726e-02
  2.54838932e-02  1.15023203e-01 -4.47921939e-02 -5.75876459e-02
 -1.43128624e-02  6.00040704e-02 -5.79667278e-02  1.11018717e-02
  8.70636944e-03  1.00515917e-01 -6.36751205e-02  1.22872731e-02
  4.11396436e-02 -5.47365099e-02  7.44835287e-02  4.48523872e-02
  8.23014751e-02  1.99577194e-02 -1.65458657e-02  6.15323111e-02
  1.00644939e-02 -7.66407978e-03  2.63449159e-02 -7.46607333e-02
  5.96328266e-02 -2.63617141e-03  5.08647785e-02 -3.34898918e-03
 -1.96009185e-02 -8.27752575e-02 -1.00542150e-01 -6.08037366e-03
  1.47600407e-02  3.22436169e-03 -9.86944735e-02 -6.11932166e-02
  3.58965918e-02  3.74724418e-02 -5.94009571e-02  5.97761422e-02
  8.05465877e-02  2.18401458e-02 -8.61135498e-03  2.40831939e-03
 -3.37904394e-02 -3.98028344e-02 -4.44997773e-02 -2.03262437e-02
 -4.70019802e-02  4.57386076e-02 -2.05895528e-02  1.88850388e-02
 -2.06245575e-02  3.25770453e-02  2.38726698e-02  8.19180310e-02
  8.74182284e-02 -9.97332707e-02  5.54867201e-02  1.03174271e-02
  2.41677035e-02 -1.22934297e-01  7.88667649e-02  4.76693213e-02
 -2.10892074e-02 -5.65524660e-02  8.12124927e-03 -7.04579707e-03
 -1.04511564e-03  8.35938193e-03  5.69558120e-04 -3.53734940e-02
 -7.06342459e-02  6.75679296e-02 -1.10596113e-01 -1.72088724e-02
 -4.08433750e-02  3.51992399e-02  1.68378446e-02  3.48319858e-02
 -5.38947098e-02  5.26870228e-03  3.30298916e-02  1.89002037e-01
 -2.37970520e-03 -1.76604334e-02  3.65064256e-02 -3.02744117e-02
 -3.61822620e-02 -6.32311963e-03 -4.44635451e-02  4.01165523e-02
 -3.03080343e-02  1.20657384e-02 -4.85498235e-02  2.13661250e-02
 -1.90722812e-02  1.16458550e-01  5.27158193e-02 -2.25985725e-03
  8.93724430e-03 -4.00764570e-02 -3.71136926e-02  1.94373429e-02
  7.12703867e-03  1.13485463e-01 -3.66109237e-02  1.89874377e-02
  4.66735521e-03 -5.07424474e-02  1.29828574e-02 -3.32763459e-33
  4.02487516e-02  1.30478116e-02  7.42914826e-02  6.99415356e-02
  1.35197518e-02  9.67115816e-03 -2.04421170e-02 -5.58818430e-02
  1.63090869e-03 -8.57743341e-03 -4.48713377e-02  1.01105152e-02
 -8.31923038e-02  4.43994068e-03  2.06229649e-02 -7.84184709e-02
 -1.07955754e-01  1.25343680e-01 -2.40559373e-02 -6.17607348e-02
  6.53421953e-02  4.24967799e-03  5.11137918e-02  5.73044233e-02
  1.12489872e-01 -4.35858443e-02  3.36207226e-02 -1.09450810e-01
 -2.54977532e-02  2.40822020e-03 -6.52918741e-02  6.66762292e-02
  1.42233502e-02 -4.66213226e-02 -4.32110056e-02  4.87481169e-02
  6.71166480e-02  6.42646775e-02 -3.06207500e-03 -8.10942380e-04
 -2.59844754e-02 -2.18054764e-02 -8.07682574e-02 -5.76518662e-02
  5.34777865e-02  3.69330496e-02 -2.49012969e-02  2.97429673e-02
 -3.53449546e-02  5.05719297e-02 -4.99587581e-02  1.41011979e-02
 -7.81404078e-02  1.53103098e-03  4.12968807e-02 -3.88411470e-02
  1.55985067e-02 -2.51784120e-02  6.64291680e-02  2.73742396e-02
  7.93010220e-02  5.55127859e-02  6.28407001e-02 -6.03004619e-02
  3.59707214e-02 -2.28806250e-02  2.22383272e-02 -3.67420763e-02
  5.21542020e-02 -7.51118287e-02 -6.17079102e-02 -6.68639224e-03
  4.10009809e-02  1.31057864e-02 -6.79226816e-02  1.44498972e-02
 -5.85428029e-02 -6.13128766e-02 -2.14888656e-04  4.34263311e-02
  5.30685931e-02 -1.04455398e-02 -1.00564444e-02  9.93642733e-02
  1.29472360e-01 -1.30841620e-02 -2.41136756e-02 -1.05928600e-01
  2.84730049e-04 -5.06262586e-04 -4.60529067e-02 -1.46587752e-02
  2.52703764e-02 -5.85537292e-02 -6.45781085e-02  1.87078181e-33
 -1.21640265e-02  1.27190590e-01  4.77419309e-02  6.30071685e-02
 -3.90635505e-02  3.84144560e-02 -2.41125878e-02 -4.03821766e-02
 -2.01045610e-02  4.99874577e-02 -3.80078144e-02  1.61911547e-03
  4.45071682e-02  2.75185630e-02  5.59399277e-02 -1.07020490e-01
  1.15084335e-01  4.36712429e-02  4.81640548e-02  8.10653418e-02
 -6.09137118e-02  1.03139784e-02 -1.63814779e-02  4.81906906e-02
 -6.41913638e-02 -3.36843245e-02 -2.23920513e-02 -3.08891665e-02
  4.64151427e-03 -5.31675247e-03 -2.18097102e-02  6.30969321e-03
 -8.57792050e-02 -6.33850973e-03  1.59122534e-02  6.24349825e-02
 -5.30617777e-03  7.18887150e-02 -1.12154027e-02 -1.42910844e-02
  6.56972360e-03 -1.76276476e-03 -1.67654492e-02 -1.03552258e-02
 -2.47288868e-02 -3.53361256e-02  5.73465861e-02  9.63401701e-03
 -4.39932086e-02 -8.41056742e-03 -4.07116748e-02 -1.58182010e-02
  7.22985715e-02 -1.56475715e-02 -6.83172941e-02 -3.29299867e-02
  5.76909259e-02  1.46989655e-02  6.78367689e-02 -2.39025278e-04
 -1.52908685e-02  2.32608765e-02 -6.22197576e-02 -6.35440126e-02
  1.38303591e-02  1.34529211e-02 -2.22494584e-02 -5.36191501e-02
  4.73417118e-02  2.13273484e-02  1.74156148e-02  2.42605917e-02
 -6.54973984e-02 -3.82166984e-03  2.45361030e-03  2.94267535e-02
 -1.70708492e-01 -7.45325834e-02 -7.96206445e-02 -7.94294477e-02
  3.39413844e-02 -8.40450753e-04 -2.19316315e-03  4.62988541e-02
  1.46090928e-02  5.21041527e-02  5.40794618e-02 -7.29230568e-02
  1.92102436e-02 -1.43099045e-02 -8.09980631e-02  9.58750173e-02
  1.34518659e-02  4.47198508e-05  2.20848387e-03 -1.40314826e-08
 -5.18808626e-02 -3.42455097e-02  6.13195896e-02 -2.70008445e-02
 -1.19851483e-02 -4.78294566e-02  7.13888109e-02 -2.22138893e-02
  1.85455978e-02  4.30819355e-02 -6.67795714e-04 -6.78139925e-02
  5.42755798e-02  6.52479455e-02  7.90513605e-02 -3.55478302e-02
 -5.30145764e-02  7.94309974e-02 -2.22167745e-02 -9.18671787e-02
 -1.66624319e-02  5.14391158e-03  5.95744979e-03  3.05670663e-03
 -3.13344831e-03 -2.75292322e-02  4.92467720e-04  3.30677181e-02
 -2.28243880e-02  8.65751281e-02  1.21737001e-02  1.39635682e-01
 -6.03040718e-02 -2.92292815e-02 -7.30748177e-02 -8.58940482e-02
  3.51629779e-02  4.14797431e-03  1.50288437e-02 -3.04006245e-02
 -1.76748745e-02  5.39864525e-02 -4.88658212e-02 -5.38433529e-02
 -5.93156703e-02  6.67925552e-02  8.62035528e-02 -4.11210991e-02
 -6.21606270e-03  1.38881849e-02 -2.95563806e-02  2.44885944e-02
  1.08012892e-01  5.94140925e-02  3.19622084e-02  3.86027806e-02
  2.37843618e-02 -5.02379052e-03 -1.55855529e-02  6.05085678e-02
  1.66752357e-02 -1.54280560e-02 -1.09303091e-02 -4.61729849e-03]",0.11530277
ZMsD-t3lorE,I Stole The ADMIN ONLY Brainrot..,1264677,16480,2186,2025-07-28 11:06:23.222189,0.018937745936904893,0.014341109127838925,0.01297497683039861,0.016825864753790443,I Stole The ADMIN ONLY Brainrot..,"[-5.85045516e-02 -6.77755056e-03 -6.10855082e-03 -5.74463196e-02
  7.23887011e-02 -2.72012558e-02  6.29156157e-02 -1.30788097e-02
  4.55039404e-02  3.55097465e-02  9.71348733e-02  3.10174543e-02
  2.82693151e-02 -2.55180486e-02 -1.75709669e-02 -2.60690711e-02
 -6.05075322e-02 -1.14580560e-02 -2.91324630e-02 -1.90957338e-02
 -6.75909668e-02 -3.17019108e-03 -1.77464373e-02 -1.55023895e-02
 -9.55925137e-03  8.01541060e-02 -9.19385478e-02  4.47159000e-02
 -5.76158538e-02 -4.11963016e-02  1.92874279e-02 -3.40923145e-02
  2.62437686e-02  6.26813695e-02  1.72276087e-02 -1.40330463e-03
  5.18393237e-03 -1.85531620e-02  1.64453164e-02 -7.93115720e-02
 -2.69549079e-02 -7.17946887e-02 -1.05128279e-02  2.28925385e-02
  2.45082687e-04  3.54281031e-02  1.45702483e-02 -1.25217652e-02
  6.56138062e-02 -3.26027386e-02 -7.37193087e-03  2.27474347e-02
 -2.39684563e-02  9.93687660e-02 -8.24864116e-03  5.23553081e-02
  1.02145061e-01  5.63770458e-02  1.55500211e-02  6.53379411e-03
 -7.83973932e-02  8.62506926e-02  1.39442377e-03  1.96813624e-02
 -1.89415936e-03  2.23441180e-02 -5.40478341e-02 -7.89310411e-02
  4.38302606e-02  4.16861996e-02  2.12972593e-02 -4.37835511e-03
 -1.01115869e-03  2.49743816e-02  2.07051709e-02  7.14740232e-02
 -5.33850528e-02 -5.48017919e-02  3.91141437e-02 -3.37455831e-02
  5.09843305e-02 -4.84701758e-03 -2.25014873e-02  8.58151913e-02
  4.36222740e-02  2.76157670e-02 -4.63582575e-02  7.48679563e-02
  5.60675971e-02  1.99092161e-02  4.02156860e-02 -4.47499305e-02
  1.03670217e-01 -3.31435390e-02 -6.93671405e-02 -3.62757556e-02
 -1.38342958e-02  1.08371247e-02 -6.26411662e-02  3.17898951e-02
  1.01726260e-02  8.10666662e-03  2.21313182e-02 -5.75779639e-02
  1.60871968e-02 -9.61811747e-03  1.23202652e-01 -8.55093636e-03
  2.48851832e-02 -2.55244635e-02 -4.09447253e-02  5.25368117e-02
  5.14196381e-02  2.42543295e-02  4.99951057e-02  1.27279256e-02
 -7.18290657e-02  1.17357507e-01 -4.07291800e-02  1.95734594e-02
